10,²ã
2522.26,2522.29
1747.28,2440.59
2,152.68,4397.07
3,437.71,3736.88
4,851.83,3088.20
5,1373.75,2455.79
6,1982.33,1849.16
7,2663.45,1282.56
8,3407.75,777.21
9,4210.13,354.06
11,²ã
2533.20,2533.62
2135.14,2038.14
2,128.87,4457.58
3,365.16,3863.18
4,709.46,3276.31
5,1146.21,2702.38
6,1659.57,2145.96
7,2238.24,1614.93
8,2871.18,1122.75
9,3554.52,685.70
10,4284.80,317.44
12,²ã
2525.66,2525.55
1811.20,2380.32
2,110.84,4508.27
3,310.62,3966.85
4,601.04,3432.66
5,972.10,2907.08
6,1411.35,2394.38
7,1907.80,1899.98
8,2454.00,1431.32
9,3045.05,998.02
10,3676.79,614.24
11,4346.31,289.09
13,²ã
2528.95,2529.24
2133.56,2050.69
2,97.02,4550.01
3,268.45,4053.51
4,517.13,3562.65
5,836.50,3078.62
6,1216.21,2605.02
7,1647.63,2143.89
8,2124.26,1700.34
9,2640.88,1282.12
10,3193.72,897.65
11,3780.71,556.71
12,4399.34,266.22
14,²ã
2519.79,2520.30
1857.34,2340.59
2,85.69,4584.46
3,235.15,4126.53
4,450.88,3672.23
5,728.42,3224.62
6,1060.28,2784.12
7,1438.69,2353.14
8,1857.84,1936.01
9,2313.77,1536.54
10,2802.56,1160.12
11,3320.94,816.10
12,3868.95,510.26
13,4444.38,246.59
15,²ã
2529.71,2529.52
2133.09,2061.09
2,77.32,4614.82
3,208.04,4189.91
4,396.99,3767.82
5,640.54,3350.38
6,932.84,2939.11
7,1267.63,2536.02
8,1639.56,2142.71
9,2045.17,1762.39
10,2480.24,1399.89
11,2943.14,1059.64
12,3432.40,748.15
13,3946.33,471.35
14,4483.43,233.66
16,²ã
2530.44,2530.00
1893.18,2312.41
2,69.83,4642.80
3,186.13,4244.20
4,353.14,3850.46
5,568.90,3459.71
6,828.17,3074.76
7,1126.62,2695.36
8,1459.08,2324.52
9,1821.96,1963.82
10,2212.36,1616.08
11,2628.60,1284.97
12,3068.53,974.48
13,3530.32,691.28
14,4014.38,439.03
15,4518.94,219.41
17,²ã
2525.11,2525.29
2133.00,2069.73
2,62.55,4662.10
3,167.69,4290.16
4,316.62,3921.53
5,508.54,3555.35
6,740.40,3193.77
7,1007.82,2836.70
8,1307.01,2485.98
9,1633.50,2143.97
10,1985.25,1811.34
11,2361.21,1491.16
12,2758.62,1186.79
13,3176.99,903.38
14,3613.63,643.15
